"entity_name","case_no","date","status"
"AsfarEurope MTÜ","C230131","14.02.2023","finished"
"AsfarEurope MTÜ","C210532","06.05.2021","finished"
"AsfarEurope MTÜ","C210274","03.03.2021","finished"
"AsfarEurope MTÜ","C220208","03.03.2022","finished"
"ASPACE OÜ","C201796","16.09.2020","finished"
"Asset Markets EU OÜ","C210191","10.02.2021","finished"
"AssetCom OÜ","C211069","06.10.2021","finished"
"AssetCom OÜ","C220750","05.09.2022","finished"
"ASTONCAP OÜ","C211047","01.10.2021","finished"
"ASTONCAP OÜ","C201792","15.09.2020","finished"
"ASTONCAP OÜ","C210567","14.05.2021","finished"
"ASTONCAP OÜ","C210860","07.08.2021","finished"
"ASTONCAP OÜ","C201734","07.09.2020","finished"
"ASV Technologies OÜ","C210213","17.02.2021","finished"
"ASV Technologies OÜ","C201389","05.07.2020","cancelled"
"ASV Technologies OÜ","C230040","17.01.2023","finished"
"ASV Technologies OÜ","C200098","15.01.2020","finished"
"ASV Technologies OÜ","C220042","17.01.2022","finished"
"Azurans Advisory OÜ","C220586","05.07.2022","cancelled"
"Azurans Advisory OÜ","C201386","05.07.2020","finished"
"Azurans Advisory OÜ","C210750","05.07.2021","finished"
"Audhild OÜ","C230026","11.01.2023","finished"
"Audhild OÜ","C221116","12.10.2022","finished"
"Audhild OÜ","C230291","20.03.2023","finished"
"Avicore OÜ","C221209","29.11.2022","in progress"
"Avomet Trade OÜ","C230086","05.02.2023","finished"
"Avomet Trade OÜ","C230031","12.01.2023","finished"
"Avomet Trade OÜ","C202211","03.12.2020","finished"
"Avomet Trade OÜ","C210166","05.02.2021","finished"
"Avomet Trade OÜ","C220122","05.02.2022","finished"
"Avomet Trade OÜ","C230399","13.04.2023","not started"
"Axalerix Limited OÜ","C220423","11.05.2022","finished"
"Axalerix Limited OÜ","C210841","04.08.2021","finished"
"Axalerix Limited OÜ","C201601","10.08.2020","finished"
"Axalerix Limited OÜ","C201571","04.08.2020","finished"
"Axe Holdings OÜ","C220420","11.05.2022","finished"
"B-Corp Services OÜ","C220223","08.03.2022","finished"
"B-Corp Services OÜ","C210289","08.03.2021","finished"
"B-Corp Services OÜ","C230235","15.03.2023","in progress"
"B.O.B Bars Over Bottles OÜ","C220662","08.08.2022","finished"
"B.O.B Bars Over Bottles OÜ","C230262","17.03.2023","in progress"
"B.S.M Technologies OÜ","C201530","25.07.2020","finished"
"B.S.M Technologies OÜ","C201500","21.07.2020","finished"
"B.T.I. Capital OÜ","C220650","03.08.2022","finished"
"B.T.I. Capital OÜ","C201566","03.08.2020","finished"
"B.T.I. Capital OÜ","C210837","03.08.2021","finished"
"BagenExchange OÜ","C201553","29.07.2020","finished"
"BagenExchange OÜ","C202164","24.11.2020","finished"
"BagenExchange OÜ","C201245","12.06.2020","finished"
"BagenExchange OÜ","C202166","25.11.2020","finished"
"BagenExchange OÜ","C230256","16.03.2023","in progress"
"BagenExchange OÜ","C220643","29.07.2022","finished"
"BagenExchange OÜ","C210823","29.07.2021","finished"
"BalanceGroup OÜ","C200471","13.03.2020","cancelled"
"BalanceGroup OÜ","C202019","26.10.2020","finished"
"Balancer Labs OÜ","C230286","20.03.2023","in progress"
"Balancer Labs OÜ","C220789","22.09.2022","finished"
"Balancer Labs OÜ","C201836","22.09.2020","finished"
"Balancer Labs OÜ","C211014","22.09.2021","finished"
"BalanceTech OÜ (-14759772)","C201642","17.08.2020","cancelled"
"Baltic IT Service OÜ","C221243","14.12.2022","finished"
"Baltic IT Service OÜ","C211281","14.12.2021","finished"
"Baltic IT Service OÜ","C210066","14.01.2021","finished"
"Baltic IT Service OÜ","C230289","20.03.2023","in progress"
"BalticStore OÜ","C210177","07.02.2021","finished"
"Bambalulu OÜ","C220495","02.06.2022","finished"
"Bambalulu OÜ","C220494","02.06.2022","finished"
"Bankana OÜ","C220072","21.01.2022","finished"
"Bankana OÜ","C230054","21.01.2023","finished"
"Bankana OÜ","C210092","21.01.2021","finished"
"Bankers Trust OÜ","C210783","15.07.2021","finished"
"Bankr Fintech OÜ","C210439","09.04.2021","cancelled"
"Banqia OÜ","C201156","03.06.2020","finished"
"Bartertrade OÜ","C200013","04.01.2020","finished"
"BaseIT OÜ","C211329","30.12.2021","finished"
"BaseIT OÜ","C210305","10.03.2021","finished"
"BaseIT OÜ","C200457","10.03.2020","finished"
"BaseIT OÜ","C221208","29.11.2022","finished"
"BaseIT OÜ","C230226","14.03.2023","not started"
"Baumont Solutions OÜ","C201027","20.05.2020","finished"
"Bautechnik OÜ","C210419","06.04.2021","finished"
"Bautechnik OÜ","C211242","01.12.2021","finished"
"Bautechnik OÜ","C230353","28.03.2023","in progress"
"BayOne OÜ","C220645","29.07.2022","not started"
"BayOne OÜ","C230055","22.01.2023","finished"
"BayOne OÜ","C220078","22.01.2022","finished"
"BayOne OÜ","C210594","21.05.2021","finished"
"BeautyMiracle OÜ","C230379","06.04.2023","not started"
"Belinvest Holding OÜ","C220689","15.08.2022","finished"
"Belinvest Holding OÜ","C201639","15.08.2020","finished"
"Belinvest Holding OÜ","C210151","02.02.2021","finished"
"Belinvest Holding OÜ","C220202","02.03.2022","finished"
"Belinvest Holding OÜ","C201705","02.09.2020","finished"
"Belinvest Holding OÜ","C210882","15.08.2021","finished"
"Belinvest Holding OÜ","C210269","02.03.2021","finished"
"Belinvest Holding OÜ","C220383","29.04.2022","cancelled"
"Benchmark Procap Management OÜ","C220182","23.02.2022","finished"
"Benchmark Procap Management OÜ","C201364","29.06.2020","cancelled"
"Best Innovation Services OÜ","C220525","14.06.2022","finished"
"Best Innovation Services OÜ","C201247","14.06.2020","finished"
"Best Innovation Services OÜ","C210672","14.06.2021","finished"
"BHDigital Financial Services OÜ","C201293","18.06.2020","finished"
"BHDigital Financial Services OÜ","C210611","26.05.2021","finished"
"BHDigital Financial Services OÜ","C201449","13.07.2020","finished"
"BHDigital Financial Services OÜ","C210115","26.01.2021","cancelled"
"bhpt OÜ","C230271","18.03.2023","in progress"
"bhpt OÜ","C220436","16.05.2022","cancelled"
"bhpt OÜ","C201750","10.09.2020","finished"
"bhpt OÜ","C201082","26.05.2020","cancelled"
"bhpt OÜ","C220447","18.05.2022","finished"
"Bibo Exchange OÜ","C201373","30.06.2020","finished"
"Bibo Exchange OÜ","C220081","25.01.2022","finished"
"Bibo Exchange OÜ","C201352","29.06.2020","finished"
"Bibo Exchange OÜ","C210106","25.01.2021","finished"
"BigWhale OÜ","C220571","29.06.2022","in progress"
"BillionTraders Services OÜ","C201047","21.05.2020","finished"
"BITCHEN FOUNDATION PTE OÜ","C201684","28.08.2020","finished"
"BITCHEN FOUNDATION PTE OÜ","C210922","28.08.2021","finished"
"BITCHEN FOUNDATION PTE OÜ","C220188","28.02.2022","not started"
"BitcoinBanque OÜ","C201405","07.07.2020","cancelled"
"BitcoinBanque OÜ","C210564","14.05.2021","cancelled"
"BitcoinBanque OÜ","C201762","10.09.2020","cancelled"
"Bithashex OÜ","C201618","12.08.2020","finished"
"Bitkin World OÜ","C201420","08.07.2020","finished"
"Bitkruz OÜ","C201884","30.09.2020","finished"
"BITNORDEX OÜ","C201138","01.06.2020","finished"
"BitSpider OÜ","C220537","17.06.2022","finished"
"BitSpider OÜ","C220506","07.06.2022","finished"
"BitSpider OÜ","C201920","07.10.2020","finished"
"BitSpider OÜ","C201848","23.09.2020","finished"
"BitSpider OÜ","C220515","09.06.2022","finished"
"BitSpider OÜ","C220704","19.08.2022","finished"
"BitSpider OÜ","C211040","30.09.2021","finished"
"BitSpider OÜ","C201371","30.06.2020","finished"
"BitSpider OÜ","C210094","21.01.2021","finished"
"BitSpider OÜ","C211267","09.12.2021","finished"
"BitSpider OÜ","C220102","01.02.2022","finished"
"BitSpider OÜ","C211087","12.10.2021","finished"
"BitSpider OÜ","C210698","21.06.2021","finished"
"BITSWAP24 OÜ","C201740","09.09.2020","finished"
"BITSWAP24 OÜ","C201164","03.06.2020","on hold"
"BITSWAP24 OÜ","C230216","10.03.2023","in progress"
"Bitviking OÜ","C210131","31.01.2021","finished"
"Bitviking OÜ","C230069","31.01.2023","in progress"
"Bitviking OÜ","C220095","31.01.2022","finished"
"Bitwabi OÜ","C210954","07.09.2021","finished"
"Bitwabi OÜ","C210319","12.03.2021","finished"
"Bitwabi OÜ","C201841","22.09.2020","finished"
"Bitwabi OÜ","C201974","14.10.2020","finished"
"Bitwage Services Estonia OÜ","C201690","31.08.2020","finished"
"Bladt Consultancy OÜ","C230362","03.04.2023","in progress"
"Blaiskin OÜ","C230246","16.03.2023","in progress"
"Blaiskin OÜ","C230146","15.02.2023","finished"
"Blazebird OÜ","C221170","09.11.2022","finished"
"Block 8 OÜ","C201798","16.09.2020","finished"
"Blockbits UAB","C220676","11.08.2022","finished"
"Blockbits UAB","C221165","07.11.2022","not started"
"Blockbits UAB","C220596","07.07.2022","finished"
"Blockbits UAB","C221128","18.10.2022","finished"
"BlockBooster Crypto Media OÜ","C220441","17.05.2022","finished"
"blockchaintech OÜ","C201685","28.08.2020","finished"
"blockchaintech OÜ","C202201","01.12.2020","cancelled"
"blockchaintech OÜ","C201357","29.06.2020","finished"
"blockchaintech OÜ","C210923","28.08.2021","finished"
"Blockoville OÜ","C201189","08.06.2020","finished"
"Blockoville OÜ","C201301","19.06.2020","finished"
"Blockoville OÜ","C202111","12.11.2020","finished"
"Blockoville OÜ","C201370","30.06.2020","finished"
"Blockoville OÜ","C220740","01.09.2022","in progress"
"Blockoville OÜ","C202099","09.11.2020","finished"
"Blockoville OÜ","C220503","06.06.2022","finished"
"Blockoville OÜ","C221176","12.11.2022","finished"
"Blockoville OÜ","C211177","12.11.2021","finished"
"Blockoville OÜ","C201368","30.06.2020","finished"
"Blockoville OÜ","C201591","07.08.2020","finished"
"Blotocol OÜ","C201276","17.06.2020","finished"
"BlueCrypto OÜ","C211065","05.10.2021","finished"
"BlueCrypto OÜ","C230214","09.03.2023","in progress"
"BlueCrypto OÜ","C220748","04.09.2022","finished"
"BlueEnergy OÜ","C210462","16.04.2021","finished"
"BlueEnergy OÜ","C220348","16.04.2022","finished"
"BlueEnergy OÜ","C211036","29.09.2021","finished"
"BlueEnergy OÜ","C230258","17.03.2023","finished"
"BlueFlame OÜ","C210830","31.07.2021","cancelled"
"BlueFlame OÜ","C201560","31.07.2020","finished"
"BlueFlower OÜ","C210328","14.03.2021","finished"
"BlueFlower OÜ","C201768","13.09.2020","finished"
"BlueFlower OÜ","C230106","14.02.2023","finished"
"BlueFlower OÜ","C220243","14.03.2022","finished"
"BlueGarage OÜ","C200764","20.04.2020","finished"
"BlueGarage OÜ","C210910","25.08.2021","finished"
"BlueGarage OÜ","C210159","03.02.2021","finished"
"Bluemark Systems OÜ (abandoned)","C201558","30.07.2020","cancelled"
"BluePartner OÜ","C221178","14.11.2022","cancelled"
"BluePartner OÜ","C220363","22.04.2022","finished"
"BluePartner OÜ","C211142","02.11.2021","finished"
"BluePartner OÜ","C210478","22.04.2021","cancelled"
"BluePeak Systems OÜ","C201321","24.06.2020","finished"
"Bluesnow OÜ","C210585","19.05.2021","finished"
"Bluesnow OÜ","C210214","18.02.2021","finished"
"Bluesnow OÜ","C210995","17.09.2021","finished"
"Bluesnow OÜ","C201193","08.06.2020","finished"
"BlueTeam OÜ","C210212","17.02.2021","finished"
"BlueTeam OÜ","C230116","14.02.2023","finished"
"BlueTeam OÜ","C220157","17.02.2022","finished"
"BlueToken OÜ","C201333","26.06.2020","finished"
"BlueToken OÜ","C210709","26.06.2021","finished"
"BlueWoods OÜ","C210157","03.02.2021","finished"
"BlueWoods OÜ","C220113","03.02.2022","finished"
"BlueWoods OÜ","C210153","02.02.2021","finished"
"Bohman Kurekivi OÜ","C220526","14.06.2022","finished"
"Bohman Kurekivi OÜ","C221153","01.11.2022","finished"
"Bohman Kurekivi OÜ","C210781","15.07.2021","finished"
"Bohman Lookivi OÜ","C211108","21.10.2021","finished"
"Bohman Lookivi OÜ","C221138","21.10.2022","finished"
"Bohman Lookivi OÜ","C201992","21.10.2020","finished"
"Bohmans Kinnisvara OÜ","C221149","30.10.2022","finished"
"Bohmans Kinnisvara OÜ","C211136","30.10.2021","finished"
"Bohmans Kinnisvara OÜ","C202044","30.10.2020","finished"
"Brand Sales OÜ","C210947","06.09.2021","cancelled"
"BRG International Services Ltd Eesti filiaal","C201136","01.06.2020","finished"
"Brick and Mortar Digital Assets OÜ","C201200","09.06.2020","finished"
"Brick and Mortar Digital Assets OÜ","C202217","04.12.2020","finished"
"Brick and Mortar Digital Assets OÜ","C201539","27.07.2020","finished"
"Broctagon Fintech Limited OÜ","C200971","14.05.2020","cancelled"
"Bronius International Group OÜ","C201253","15.06.2020","finished"
"Btcpremium OÜ","C210494","28.04.2021","finished"
"Btcpremium OÜ","C200828","28.04.2020","finished"
"Buggyra Powersports OÜ","C230233","15.03.2023","not started"
"Buggyra Powersports OÜ","C201531","26.07.2020","finished"
"Buggyra Powersports OÜ","C220634","26.07.2022","finished"
"Buggyra Powersports OÜ","C210812","26.07.2021","finished"
"BuildRise Digitalcoin Market OÜ","C201864","25.09.2020","finished"
"BuildRise Digitalcoin Market OÜ","C211025","25.09.2021","finished"
"BuildRise Digitalcoin Market OÜ","C201294","18.06.2020","finished"
"BuildRise Digitalcoin Market OÜ","C201281","17.06.2020","cancelled"
"BuildRise Digitalcoin Market OÜ","C220800","25.09.2022","in progress"
"Bushido Technologies OÜ","C201984","18.10.2020","finished"
"Businesstoolbox OÜ","C201875","28.09.2020","finished"
"Bürli","C220593","06.07.2022","finished"
"Bürli","C220592","06.07.2022","finished"
"CalliopeServices OÜ","C201023","20.05.2020","finished"
"Camaroz Services OÜ","C201034","21.05.2020","finished"
"Capital Enterprise OÜ","C201038","21.05.2020","finished"
"CapitalBox OÜ","C201309","21.06.2020","finished"
"CapitalFactoring OÜ","C230220","13.03.2023","not started"
"CapitalFactoring OÜ","C202168","25.11.2020","finished"
"CapitalRing OÜ","C200287","16.02.2020","finished"
"CapitalRing OÜ","C210202","15.02.2021","cancelled"
"Cardio Trade OÜ","C210347","19.03.2021","finished"
"Cardio Trade OÜ","C220256","19.03.2022","finished"
"Cardio Trade OÜ","C230151","17.02.2023","finished"
"Cardio Trade OÜ","C200501","19.03.2020","finished"
"Cardio Trade OÜ","C220132","09.02.2022","finished"
"Carré d'Or OÜ","C201490","20.07.2020","finished"
"Carré d'Or OÜ","C210577","18.05.2021","finished"
"Carré d'Or OÜ","C220444","18.05.2022","finished"
"Cascon Drilling Tools OÜ","C201592","09.08.2020","finished"
"Cascon Drilling Tools OÜ","C210862","09.08.2021","finished"
"Cascon Drilling Tools OÜ","C220663","09.08.2022","finished"
"Cascon Drilling Tools OÜ","C230352","28.03.2023","in progress"
"Cash Expresso Estonia OÜ","C220739","01.09.2022","finished"
"CASTLE OÜ","C201168","04.06.2020","finished"
"CASTLE OÜ","C211158","08.11.2021","finished"
"CASTLE OÜ","C210124","27.01.2021","finished"
"CASTLE OÜ","C210817","27.07.2021","finished"
"CCCorporate Services OÜ","C200252","09.02.2020","finished"
"Cejestra OÜ","C210665","09.06.2021","finished"
"Cejestra OÜ","C210359","23.03.2021","finished"
"CentilLaw OÜ","C200454","09.03.2020","finished"
"CentilLaw OÜ","C220068","20.01.2022","finished"
"CentilLaw OÜ","C210540","10.05.2021","finished"
"CentilLaw OÜ","C201552","29.07.2020","finished"
"Centrako OÜ","C200001","01.01.2020","cancelled"
"Centrako OÜ","C201527","24.07.2020","finished"
"Centrako OÜ","C210001","01.01.2021","finished"
"CENTRALNORD OÜ","C230370","05.04.2023","in progress"
"CFT Holding OÜ","C201986","19.10.2020","finished"
"ChimeraExchange OÜ","C200583","01.04.2020","finished"
"Chincha Team OÜ","C210503","30.04.2021","finished"
"ChinChin OÜ","C202328","30.12.2020","finished"
"Civinity OÜ","C200761","18.04.2020","finished"
"Clear Transfer Technologies OÜ","C230363","04.04.2023","in progress"
"Clear Transfer Technologies OÜ","C210377","26.03.2021","finished"
"Clear Transfer Technologies OÜ","C201354","29.06.2020","finished"
"Clear Transfer Technologies OÜ","C202090","06.11.2020","finished"
"Clear Transfer Technologies OÜ","C202232","08.12.2020","finished"
"Clear Transfer Technologies OÜ","C210725","29.06.2021","finished"
"Clear Transfer Technologies OÜ","C201522","23.07.2020","finished"
"Clear Transfer Technologies OÜ","C211091","13.10.2021","finished"
"Clear Transfer Technologies OÜ","C210230","23.02.2021","finished"
"Clear Transfer Technologies OÜ","C210520","04.05.2021","finished"
"Clear Transfer Technologies OÜ","C201271","17.06.2020","finished"
"Clear Transfer Technologies OÜ","C220402","04.05.2022","finished"
"Clear Transfer Technologies OÜ","C211099","15.10.2021","finished"
"Clear Transfer Technologies OÜ","C210863","09.08.2021","finished"
"Clear Transfer Technologies OÜ","C201823","18.09.2020","finished"
"Clear Transfer Technologies OÜ","C201303","19.06.2020","finished"
"Clear Transfer Technologies OÜ","C200994","18.05.2020","finished"
"Clear Transfer Technologies OÜ","C200876","04.05.2020","finished"
"Clear Transfer Technologies OÜ","C201414","07.07.2020","finished"
"Clear Transfer Technologies OÜ","C221247","14.12.2022","in progress"
"Cleobase OÜ","C201702","01.09.2020","finished"
"Cleobase OÜ","C210088","20.01.2021","finished"
"Cleobase OÜ","C201807","17.09.2020","finished"
"Cleobase OÜ","C202155","23.11.2020","finished"
"Cleobase OÜ","C201206","09.06.2020","finished"
"Cleobase OÜ","C201207","09.06.2020","finished"
"ClickSmart OÜ","C221114","12.10.2022","finished"
"ClickSmart OÜ","C201943","12.10.2020","finished"
"ClickSmart OÜ","C211086","12.10.2021","finished"
"CMS Holding OÜ","C200962","13.05.2020","finished"
"CMS Holding OÜ","C201648","18.08.2020","finished"
"CoinCarrier OÜ","C220566","28.06.2022","finished"
"CoinCarrier OÜ","C221188","18.11.2022","finished"
"CoinCarrier OÜ","C221194","21.11.2022","finished"
"CoinCarrier OÜ","C221211","29.11.2022","finished"
"CoinCarrier OÜ","C220428","12.05.2022","finished"
"Coincasso OÜ","C201428","08.07.2020","finished"
"Coincasso OÜ","C210421","07.04.2021","cancelled"
"Coincasso OÜ","C220206","02.03.2022","finished"
"Coincasso OÜ","C201429","08.07.2020","cancelled"
"Coincasso OÜ","C211018","23.09.2021","finished"
"Coincasso OÜ","C220358","19.04.2022","cancelled"
"Coincasso OÜ","C220327","07.04.2022","finished"
