"entity_name","case_no","date","status"
"CryptoEye OÜ","C220809","29.09.2022","finished"
"CryptoEye OÜ","C200509","20.03.2020","finished"
"CryptoEye OÜ","C211033","29.09.2021","finished"
"CryptoGeeks OÜ","C201883","30.09.2020","cancelled"
"CryptoGeeks OÜ","C201946","12.10.2020","cancelled"
"Cryptometre OÜ","C202269","16.12.2020","finished"
"Cryptonia Worldwide OÜ","C211071","07.10.2021","finished"
"Cryptonia Worldwide OÜ","C230096","08.02.2023","in progress"
"Cryptonia Worldwide OÜ","C210848","04.08.2021","finished"
"Cryptonia Worldwide OÜ","C211072","07.10.2021","finished"
"Cryptonia Worldwide OÜ","C211163","09.11.2021","finished"
"Cryptonia Worldwide OÜ","C220686","13.08.2022","cancelled"
"CryptoPoint OÜ","C200067","13.01.2020","finished"
"CryptoPower OÜ","C202295","22.12.2020","cancelled"
"CRYPTOXYGEN OÜ","C201805","17.09.2020","finished"
"Crystal Technologies OÜ","C210040","09.01.2021","finished"
"Crystal Technologies OÜ","C220022","09.01.2022","finished"
"Crystonio OÜ","C201238","11.06.2020","finished"
"Crystonio OÜ","C201688","28.08.2020","finished"
"Crystonio OÜ","C202274","16.12.2020","finished"
"CSSD Co. Ltd OÜ","C210385","29.03.2021","cancelled"
"Cybergiraffe OÜ","C220783","19.09.2022","finished"
"Cybergiraffe OÜ","C210950","06.09.2021","finished"
"Cypher OÜ","C201450","13.07.2020","finished"
"Cypher OÜ","C201161","03.06.2020","finished"
"Cypher OÜ","C202109","12.11.2020","cancelled"
"Dacxi Limited OÜ","C220184","25.02.2022","finished"
"Dacxi Limited OÜ","C230122","14.02.2023","finished"
"Dacxi Limited OÜ","C230154","17.02.2023","in progress"
"Dacxi Limited OÜ","C201338","26.06.2020","finished"
"Dacxi Limited OÜ","C210623","28.05.2021","cancelled"
"Dacxi Limited OÜ","C210242","25.02.2021","finished"
"Dacxi Limited OÜ","C201272","17.06.2020","finished"
"DAE Europe OÜ","C200772","21.04.2020","cancelled"
"Dantes Services OÜ","C220665","09.08.2022","finished"
"Dantes Services OÜ","C210930","31.08.2021","finished"
"Dantes Services OÜ","C230225","14.03.2023","finished"
"DARLYLE TRADING CORPORATION OÜ","C201911","07.10.2020","finished"
"DARLYLE TRADING CORPORATION OÜ","C201672","24.08.2020","finished"
"Daybreak Investments OÜ","C230221","14.03.2023","in progress"
"Daybreak Investments OÜ","C220345","13.04.2022","finished"
"Daybreak Investments OÜ","C210451","13.04.2021","finished"
"Dealmakers OÜ","C220189","28.02.2022","cancelled"
"Decarbonice OÜ","C230168","22.02.2023","in progress"
"Decarbonice OÜ","C220741","01.09.2022","finished"
"Delta Foxtrot Holding OÜ on foundation","C210853","05.08.2021","not started"
"Delta-Auto OÜ","C210964","10.09.2021","finished"
"Delta-Auto OÜ","C220674","10.08.2022","finished"
"DeltaBox OÜ","C201604","11.08.2020","finished"
"DeltaBox OÜ","C210864","11.08.2021","finished"
"DeltaGrid OÜ","C211205","18.11.2021","finished"
"DeltaSmart OÜ","C220054","18.01.2022","finished"
"DeNeyratGlobal OÜ","C230282","20.03.2023","finished"
"Devaney OÜ","C230309","21.03.2023","in progress"
"Devaney OÜ","C210691","19.06.2021","finished"
"Devaney OÜ","C220540","19.06.2022","finished"
"Devaney OÜ","C201297","19.06.2020","finished"
"DevComBat OÜ","C220270","23.03.2022","finished"
"DevComBat OÜ","C210358","23.03.2021","finished"
"deVere OÜ","C210530","06.05.2021","in progress"
"deVere OÜ","C210219","19.02.2021","finished"
"deVere OÜ","C210374","25.03.2021","finished"
"DIAMONT LAW OÜ","C201163","03.06.2020","cancelled"
"Didenko.Legal OÜ","C230027","11.01.2023","in progress"
"Didenko.Legal OÜ","C221246","14.12.2022","in progress"
"DigiBank OÜ","C210482","23.04.2021","cancelled"
"DigiBank OÜ","C201906","06.10.2020","finished"
"DigiBlue Group OÜ","C211080","11.10.2021","finished"
"DigiBlue Group OÜ","C201940","11.10.2020","finished"
"DigiBlue Group OÜ","C221112","11.10.2022","finished"
"DigiBlue Group OÜ","C230387","11.04.2023","finished"
"DigiHotel OÜ","C201747","10.09.2020","finished"
"DigiPower OÜ","C210744","02.07.2021","finished"
"DigiPower OÜ","C220490","01.06.2022","finished"
"DigiPower OÜ","C220404","04.05.2022","finished"
"Digital Value Trading OÜ","C200643","08.04.2020","finished"
"DigiWallet OÜ","C200015","05.01.2020","finished"
"Dinengo Services OÜ","C201041","21.05.2020","finished"
"Direstraits 789293 OÜ","C210445","11.04.2021","finished"
"Direstraits 789293 OÜ","C220335","11.04.2022","finished"
"Direstraits 789293 OÜ","C230218","12.03.2023","in progress"
"Dline OÜ","C210061","14.01.2021","finished"
"DquestCorp OÜ","C200481","16.03.2020","finished"
"DreamBox OÜ","C201385","05.07.2020","finished"
"DreamBox OÜ","C210020","05.01.2021","finished"
"DreamPoint OÜ","C202122","15.11.2020","finished"
"Dristor Services OÜ","C201022","20.05.2020","finished"
"DriveCom OÜ","C201323","25.06.2020","finished"
"DriveCom OÜ","C210707","25.06.2021","finished"
"DriveCom OÜ","C220553","25.06.2022","finished"
"DriveCom OÜ","C230303","21.03.2023","in progress"
"DSC WORLDWIDE INVESTMENTS OÜ","C211324","28.12.2021","in progress"
"DSC WORLDWIDE INVESTMENTS OÜ","C230057","23.01.2023","in progress"
"Easy Technologies Software OÜ","C220180","23.02.2022","finished"
"ECP Trade OÜ","C221213","30.11.2022","in progress"
"ECP Trade OÜ","C210026","06.01.2021","finished"
"ECP Trade OÜ","C210298","09.03.2021","finished"
"ECP Trade OÜ","C220016","06.01.2022","finished"
"ECP Trade OÜ","C230015","06.01.2023","finished"
"EDEN Digital Learning Europe MTÜ","C211275","13.12.2021","finished"
"EDEN Digital Learning Europe MTÜ","C220105","02.02.2022","finished"
"EDEN Digital Learning Europe MTÜ","C210668","11.06.2021","finished"
"EDEN Digital Learning Europe MTÜ","C230078","02.02.2023","in progress"
"EDEN Digital Learning Europe MTÜ","C210147","02.02.2021","finished"
"EDEN Digital Learning Europe MTÜ","C210231","23.02.2021","finished"
"EDEN Digital Learning Europe MTÜ","C211146","03.11.2021","finished"
"EDEN Digital Learning Europe MTÜ","C220371","26.04.2022","finished"
"EduCap Est OÜ","C220782","17.09.2022","finished"
"EduCap Est OÜ","C221183","17.11.2022","finished"
"EduCap Est OÜ","C211106","18.10.2021","finished"
"EduCap Est OÜ","C211295","17.12.2021","cancelled"
"egoCube OÜ","C220055","18.01.2022","finished"
"EIT Digital","C202050","30.10.2020","finished"
"eKapitaCoin OÜ","C201829","21.09.2020","finished"
"Elevated Imperium OÜ","C220056","18.01.2022","finished"
"ElitePro Coaching OÜ","C210072","17.01.2021","finished"
"ElitePro Coaching OÜ","C220043","17.01.2022","finished"
"ElitePro Coaching OÜ","C230041","17.01.2023","finished"
"EMH GLOBALE OÜ","C201868","25.09.2020","cancelled"
"EminGroup OÜ","C220017","06.01.2022","finished"
"EminGroup OÜ","C210027","06.01.2021","finished"
"EmpowerHumanity MTÜ","C210539","10.05.2021","finished"
"EmpowerHumanity MTÜ","C220417","10.05.2022","cancelled"
"EmpowerHumanity MTÜ","C201140","01.06.2020","finished"
"EnergyKey AS","C210775","13.07.2021","finished"
"EnergyKey AS","C210311","10.03.2021","finished"
"Eolus Offshore Estonia OÜ","C221175","11.11.2022","finished"
"Eolus Offshore Estonia OÜ","C230231","15.03.2023","not started"
"EOTRADEX OÜ","C201724","03.09.2020","finished"
"EOTRADEX OÜ","C201328","25.06.2020","finished"
"Estonian company for MOHAMMAD AHSANUR ROB CHOWDHURY (on foundation)","C221254","20.12.2022","in progress"
"EURO CRYPTO EXCHANGEBANQUE OÜ","C201774","15.09.2020","finished"
"EURO CRYPTO EXCHANGEBANQUE OÜ","C201833","21.09.2020","cancelled"
"EuroBalt Management Solutions OÜ","C202216","04.12.2020","finished"
"EuroBalt Management Solutions OÜ","C201209","09.06.2020","cancelled"
"EuroBalt Management Solutions OÜ","C211254","04.12.2021","finished"
"EuroBalt Management Solutions OÜ","C220045","17.01.2022","cancelled"
"EuroBalt Management Solutions OÜ","C201404","07.07.2020","finished"
"EUROPE PROGRESS CAPITAL OÜ","C230155","17.02.2023","in progress"
"EUROPE PROGRESS CAPITAL OÜ","C210373","25.03.2021","finished"
"European Estate Agents Alliance OÜ","C202097","09.11.2020","finished"
"European Estate Agents Alliance OÜ","C211161","09.11.2021","cancelled"
"European Services & Support OÜ","C211271","10.12.2021","finished"
"European Services & Support OÜ","C230163","20.02.2023","finished"
"European Services & Support OÜ","C202244","10.12.2020","finished"
"EuroToken OÜ","C201802","16.09.2020","finished"
"EuroToken OÜ","C201340","26.06.2020","finished"
"Eurynome OÜ","C201966","14.10.2020","finished"
"Eurynome OÜ","C211092","14.10.2021","finished"
"Eurynome OÜ","C221119","14.10.2022","cancelled"
"EvaIndustries OÜ","C220244","14.03.2022","finished"
"EvaIndustries OÜ","C230228","14.03.2023","finished"
"EvaIndustries OÜ","C220590","06.07.2022","finished"
"EvaIndustries OÜ","C210329","14.03.2021","finished"
"EvaIndustries OÜ","C230132","14.02.2023","finished"
"EvaLAB Technologies OÜ","C210075","18.01.2021","finished"
"Evomall OÜ","C220763","09.09.2022","finished"
"EXCELON EXCHANGE OÜ","C202132","17.11.2020","cancelled"
"EXCELON EXCHANGE OÜ","C201131","31.05.2020","finished"
"EXCELON EXCHANGE OÜ","C200929","08.05.2020","finished"
"Exchangenex OÜ","C210139","01.02.2021","finished"
"ExchangePowerTechnology OÜ","C210479","22.04.2021","finished"
"Exonium OÜ","C202283","17.12.2020","finished"
"Exonium OÜ","C201584","06.08.2020","cancelled"
"Exonium OÜ","C201361","29.06.2020","finished"
"Exonium OÜ","C201582","06.08.2020","cancelled"
"F.LLI CUSANO & C. OÜ","C210288","08.03.2021","finished"
"F.LLI CUSANO & C. OÜ","C230114","14.02.2023","finished"
"F.LLI CUSANO & C. OÜ","C200445","08.03.2020","cancelled"
"F.LLI CUSANO & C. OÜ","C220220","07.03.2022","finished"
"F.LLI CUSANO & C. OÜ","C220222","08.03.2022","finished"
"F.LLI CUSANO & C. OÜ","C201652","18.08.2020","finished"
"Fair Trading Global OÜ","C210815","27.07.2021","finished"
"Fair Trading Global OÜ","C201534","27.07.2020","finished"
"Fairline Marketing OÜ","C201026","20.05.2020","finished"
"Falco Systems OÜ","C201259","15.06.2020","finished"
"Falconcoin OÜ","C230199","06.03.2023","not started"
"Falconcoin OÜ","C230186","02.03.2023","finished"
"FastGroup Systems OÜ","C202160","24.11.2020","finished"
"FastGroup Systems OÜ","C221200","24.11.2022","cancelled"
"FastGroup Systems OÜ","C211224","24.11.2021","finished"
"FastGroup Systems OÜ","C211301","21.12.2021","finished"
"FastGroup Systems OÜ","C192233","24.11.2019","finished"
"FastGroup Systems OÜ","C230307","21.03.2023","in progress"
"FastGroup Systems OÜ","C230197","06.03.2023","finished"
"FastLaneSolutions OÜ","C201051","21.05.2020","finished"
"Fifty Five Technology Limited OÜ","C200849","30.04.2020","finished"
"Fimes Invest OÜ","C211316","26.12.2021","finished"
"Fimes Invest OÜ","C221261","26.12.2022","finished"
"Fimes Invest OÜ","C230310","21.03.2023","finished"
"Fimes Invest OÜ","C202308","26.12.2020","finished"
"Fin Technologies OÜ","C201640","15.08.2020","cancelled"
"Fin Technologies OÜ","C192117","07.11.2019","finished"
"FIN-EST EDUCATIONAL TECHNOLOGIES OÜ","C220644","29.07.2022","cancelled"
"FINAURA OÜ","C200409","03.03.2020","finished"
"FINAURA OÜ","C220533","15.06.2022","finished"
"FINAURA OÜ","C210273","03.03.2021","finished"
"FINAURA OÜ","C210658","08.06.2021","finished"
"FINAURA OÜ","C220207","03.03.2022","cancelled"
"FINAURA OÜ","C201372","30.06.2020","finished"
"FINAURA OÜ","C230126","14.02.2023","in progress"
"Fincrypt OÜ","C210352","22.03.2021","finished"
"Fincrypt OÜ","C220265","22.03.2022","finished"
"Fincrypt OÜ","C201204","09.06.2020","finished"
"Fincrypt OÜ","C220632","25.07.2022","finished"
"Fincrypt OÜ","C201057","21.05.2020","finished"
"Fincrypt OÜ","C201714","02.09.2020","finished"
"Fincrypt OÜ","C201427","08.07.2020","finished"
"FinField OÜ","C201548","28.07.2020","finished"
"FinField OÜ","C202262","15.12.2020","finished"
"Finrate OÜ","C230287","20.03.2023","in progress"
"Finrate OÜ","C220433","14.05.2022","finished"
"Finrate OÜ","C210561","14.05.2021","finished"
"Fintag Internet Services OÜ","C211141","02.11.2021","finished"
"Fintag Internet Services OÜ","C221157","02.11.2022","finished"
"Fintag Internet Services OÜ","C230032","12.01.2023","finished"
"Fintag Internet Services OÜ","C202213","03.12.2020","finished"
"Fintech marketing services OÜ","C201944","12.10.2020","finished"
"Fintech marketing services OÜ","C230414","17.04.2023","in progress"
"Fintech marketing services OÜ","C220516","09.06.2022","finished"
"Fintech marketing services OÜ","C220440","17.05.2022","finished"
"Fintech marketing services OÜ","C210669","11.06.2021","finished"
"Fintech marketing services OÜ","C210339","17.03.2021","finished"
"Fintech Offices OÜ","C211264","08.12.2021","finished"
"Fintech Offices OÜ","C220046","17.01.2022","finished"
"Fintech Offices OÜ","C220680","11.08.2022","finished"
"Fintech Offices OÜ","C221145","24.10.2022","finished"
"Fintech Offices OÜ","C210606","25.05.2021","finished"
"Fintech Offices OÜ","C210997","17.09.2021","finished"
"Fintech Offices OÜ","C220186","25.02.2022","finished"
"Fintech Offices OÜ","C211328","30.12.2021","finished"
"Fintech Offices OÜ","C220268","22.03.2022","finished"
"Fintech Offices OÜ","C220368","25.04.2022","finished"
"Fintech Offices OÜ","C221210","29.11.2022","finished"
"Fintech Offices OÜ","C220487","31.05.2022","finished"
"Fintech Offices OÜ","C220277","24.03.2022","finished"
"Fintech Offices OÜ","C220678","11.08.2022","finished"
"Fintech Offices OÜ","C210998","17.09.2021","finished"
"Fintech Offices OÜ","C221095","05.10.2022","finished"
"Fintech Offices OÜ","C210805","23.07.2021","finished"
"Fintech Offices OÜ","C211056","04.10.2021","finished"
"Fintech Offices OÜ","C220228","08.03.2022","finished"
"Fintech Offices OÜ","C211192","15.11.2021","finished"
"Fintech Offices OÜ","C230079","02.02.2023","finished"
"Fintech Offices OÜ","C221238","12.12.2022","finished"
"Fintech Offices OÜ","C210394","31.03.2021","finished"
"Fintech Offices OÜ","C220679","11.08.2022","finished"
"FirstFree CryptoMarket OÜ","C201406","07.07.2020","finished"
"FirstFree CryptoMarket OÜ","C210803","23.07.2021","finished"
"FirstFree CryptoMarket OÜ","C201516","23.07.2020","finished"
"FITEUM OÜ","C221191","20.11.2022","finished"
"FITEUM OÜ","C202146","20.11.2020","finished"
"FITEUM OÜ","C201072","25.05.2020","finished"
"FITEUM OÜ","C200981","14.05.2020","finished"
"FITEUM OÜ","C211215","20.11.2021","finished"
"FiveVentures OÜ","C220057","18.01.2022","finished"
"Fixen Holdings OÜ","C220291","30.03.2022","finished"
"Fixen Holdings OÜ","C221166","07.11.2022","finished"
"Fixen Holdings OÜ","C211179","12.11.2021","finished"
"Flavorex OÜ","C221127","18.10.2022","finished"
"Flavorex OÜ","C202036","28.10.2020","finished"
"Flavorex OÜ","C211103","18.10.2021","finished"
"Flavorex OÜ","C210247","25.02.2021","cancelled"
"FlowCom OÜ","C202079","05.11.2020","finished"
"FlowCom OÜ","C211059","05.10.2021","cancelled"
"FlowCom OÜ","C202108","11.11.2020","finished"
"FlowGroup OÜ","C201729","06.09.2020","finished"
"Flydream OÜ","C210625","29.05.2021","finished"
"Flydream OÜ","C220476","29.05.2022","finished"
"FocusGeneration OÜ","C201719","03.09.2020","finished"
"FocusGeneration OÜ","C210788","16.07.2021","finished"
"FocusGeneration OÜ","C201631","13.08.2020","finished"
"ForestTech OÜ","C210963","10.09.2021","finished"
"ForestTech OÜ","C220768","10.09.2022","in progress"
"ForestTech OÜ","C201746","10.09.2020","finished"
"Forwood Invest OÜ","C201130","30.05.2020","finished"
"Fostira OÜ","C201660","19.08.2020","finished"
"Four Colours OÜ","C230177","28.02.2023","in progress"
"FreeForce OÜ","C220080","23.01.2022","finished"
"FreeForce OÜ","C220127","08.02.2022","finished"
"FreeForce OÜ","C211265","08.12.2021","finished"
"FreeForce OÜ","C210104","23.01.2021","finished"
"FreeForce OÜ","C230056","23.01.2023","finished"
"Freightlink Solutions Estonia OÜ","C210146","02.02.2021","finished"
"Fripro OÜ","C220426","12.05.2022","finished"
"Fripro OÜ","C201302","19.06.2020","finished"
"Fripro OÜ","C201284","17.06.2020","finished"
"Fripro OÜ","C220289","29.03.2022","finished"
"Fripro OÜ","C210579","18.05.2021","finished"
"Fripro OÜ","C220410","05.05.2022","finished"
"Fripro OÜ","C201382","02.07.2020","finished"
"FrontGroup OÜ","C210264","02.03.2021","finished"
"FrostByte Holdings OÜ","C201019","20.05.2020","finished"
"G.M. Informatics OÜ","C220695","17.08.2022","finished"
"G.M. Informatics OÜ","C210541","10.05.2021","finished"
"G.S. Services Ltd. OÜ","C201021","20.05.2020","finished"
"GalacticExchange OÜ","C210424","07.04.2021","cancelled"
"GalacticExchange OÜ","C210169","05.02.2021","finished"
"GalacticExchange OÜ","C201457","14.07.2020","cancelled"
"Gambela Technologies OÜ","C192010","23.10.2019","finished"
"Gambela Technologies OÜ","C201358","29.06.2020","finished"
"Gana Technologies OÜ","C200069","13.01.2020","finished"
"GBTexchange OÜ","C200451","09.03.2020","finished"
"Geiko Systems OÜ","C201032","20.05.2020","finished"
"Generation Lambda OÜ","C221089","03.10.2022","finished"
"Generation Lambda OÜ","C230061","24.01.2023","finished"
"Gensior Consulting OÜ","C230038","16.01.2023","finished"
"Gerdavit OÜ","C210245","25.02.2021","finished"
"Gerdavit OÜ","C221102","08.10.2022","finished"
"Gerdavit OÜ","C210282","05.03.2021","finished"
"Gerdavit OÜ","C211074","08.10.2021","finished"
"Gerdavit OÜ","C230236","15.03.2023","not started"
"Gerdavit OÜ","C201926","08.10.2020","finished"
"GerFin Service and Management OÜ","C200812","26.04.2020","finished"
"GF21 OÜ","C230305","21.03.2023","in progress"
"GF21 OÜ","C211012","21.09.2021","finished"
"Gigsberg Services OÜ","C230188","03.03.2023","finished"
"Gigsberg Services OÜ","C200597","02.04.2020","finished"
"Gigsberg Services OÜ","C210401","02.04.2021","finished"
"Gigsberg Services OÜ","C220305","02.04.2022","finished"
"Gleec Holding OÜ","C210574","17.05.2021","on hold"
"Gleec Holding OÜ","C200021","06.01.2020","finished"
"Gleec LAB OÜ","C200022","06.01.2020","finished"
"Gleec LAB OÜ","C210209","16.02.2021","finished"
"Gleec LAB OÜ","C210266","02.03.2021","finished"
"Gleec Market OÜ","C211113","21.10.2021","not started"
"Gleec Market OÜ","C200039","07.01.2020","finished"
"Gleec Pay OÜ","C221141","21.10.2022","in progress"
"Gleec Pay OÜ","C220311","04.04.2022","finished"
"Gleec Pay OÜ","C210899","23.08.2021","finished"
"Gleec Pay OÜ","C210418","06.04.2021","finished"
"Gleec Pay OÜ","C210449","12.04.2021","finished"
"Gleec Pay OÜ","C210091","20.01.2021","finished"
"Gleec Pay OÜ","C210624","28.05.2021","finished"
"Global PEO Services Estonia OÜ","C220201","01.03.2022","finished"
"GlobalCryptoX OÜ","C202052","30.10.2020","in progress"
"Globaless Europe OÜ","C210107","25.01.2021","finished"
"Globaless Europe OÜ","C230062","25.01.2023","finished"
"Globaless Europe OÜ","C230224","14.03.2023","in progress"
"Globaless Europe OÜ","C220082","25.01.2022","finished"
"Globaless Europe OÜ","C210098","21.01.2021","in progress"
"Globaless Europe OÜ","C220199","01.03.2022","cancelled"
"GlobalStarLimited OÜ","C210582","19.05.2021","finished"
"Globiance Europe OÜ","C220486","31.05.2022","cancelled"
"Globiance Europe OÜ","C201135","31.05.2020","finished"
"Globiance Europe OÜ","C201075","25.05.2020","finished"
"Globiance Europe OÜ","C210632","31.05.2021","finished"
"GMTicketing OÜ","C210726","29.06.2021","finished"
"GMTicketing OÜ","C230001","01.01.2023","finished"
"GMTicketing OÜ","C210142","01.02.2021","finished"
"GMTicketing OÜ","C220001","01.01.2022","finished"
"Goldbridge Services OÜ","C220084","25.01.2022","cancelled"
"Goldbridge Services OÜ","C221223","03.12.2022","cancelled"
"Golden Bridge OÜ","C210762","08.07.2021","finished"
"Golden Bridge OÜ","C201421","08.07.2020","finished"
"GoldTech Solutions OÜ","C201686","28.08.2020","finished"
"Goldville OÜ","C201347","28.06.2020","cancelled"
"Goldville OÜ","C220561","28.06.2022","finished"
"Goldville OÜ","C201360","29.06.2020","finished"
"Goldville OÜ","C210711","28.06.2021","finished"
"GoodStream OÜ","C220754","05.09.2022","finished"
"GoodStream OÜ","C202194","01.12.2020","finished"
"GoodStream OÜ","C220661","08.08.2022","finished"
"GoodStream OÜ","C211243","01.12.2021","finished"
"GoodStream OÜ","C230234","15.03.2023","finished"
"GoodStream OÜ","C221216","01.12.2022","finished"
"GOODSTronic C&C OÜ","C200762","19.04.2020","finished"
"Gozoro OÜ","C220058","18.01.2022","finished"
"Graphene Technologies OÜ","C210093","21.01.2021","finished"
"Green Mood OÜ","C230130","14.02.2023","in progress"
"Green Mood OÜ","C220242","13.03.2022","finished"
"Green Mood OÜ","C210326","13.03.2021","finished"
"Green Park Advisors OÜ","C201860","24.09.2020","finished"
"GridPoint OÜ","C211149","04.11.2021","finished"
"GridPoint OÜ","C202067","04.11.2020","finished"
"GRINCOTECH OÜ","C202172","26.11.2020","finished"
"GRINCOTECH OÜ","C211232","26.11.2021","finished"
"GRINCOTECH OÜ","C221203","26.11.2022","finished"
"GRINCOTECH OÜ","C230323","22.03.2023","in progress"
"Grint Holding OÜ","C210962","09.09.2021","in progress"
"Grint Holding OÜ","C220664","09.08.2022","finished"
"GRXTrade OÜ","C201942","11.10.2020","finished"
"Haku Labs MTÜ","C210302","09.03.2021","finished"
"Haku Labs MTÜ","C230299","20.03.2023","in progress"
"Haku Labs MTÜ","C221120","15.10.2022","finished"
"Haku Labs MTÜ","C210430","08.04.2021","finished"
"HansaCortex OÜ","C230101","12.02.2023","finished"
"HansaCortex OÜ","C230334","24.03.2023","in progress"
"HansaCortex OÜ","C220141","12.02.2022","finished"
"HansaCortex OÜ","C210198","12.02.2021","finished"
"Harrold and Maude OÜ","C220594","07.07.2022","finished"
"Harrold and Maude OÜ","C230384","10.04.2023","in progress"
"Harrold and Maude OÜ","C210428","08.04.2021","in progress"
"Harrold and Maude OÜ","C201403","07.07.2020","cancelled"
"Harrold and Maude OÜ","C201426","08.07.2020","finished"
"Harrold and Maude OÜ","C210759","07.07.2021","finished"
"Heartb4mind OÜ","C230042","17.01.2023","cancelled"
"Heartb4mind OÜ","C210073","17.01.2021","finished"
"Heartb4mind OÜ","C220044","17.01.2022","finished"
"Helvia Technologies OÜ","C210397","01.04.2021","finished"
"Helvia Technologies OÜ","C230182","02.03.2023","in progress"
"Helvia Technologies OÜ","C211050","02.10.2021","finished"
"Helvia Technologies OÜ","C230014","05.01.2023","in progress"
"Helvia Technologies OÜ","C220299","01.04.2022","finished"
"Helvia Technologies OÜ","C201895","02.10.2020","finished"
"Herva International Group OÜ","C201624","13.08.2020","finished"
"HONORGENESIS OÜ","C230329","23.03.2023","in progress"
"HONORGENESIS OÜ","C220413","06.05.2022","finished"
"HONORGENESIS OÜ","C210529","06.05.2021","finished"
"HyperLedger OÜ","C211300","21.12.2021","finished"
"i10 OÜ","C201914","07.10.2020","finished"
"i10 OÜ","C220026","10.01.2022","finished"
"i10 OÜ","C220758","06.09.2022","finished"
"i10 OÜ","C210945","06.09.2021","finished"
"i10 OÜ","C210267","02.03.2021","cancelled"
"Ibinex Financials Estonia OÜ","C201521","23.07.2020","finished"
"Ibinex Financials Estonia OÜ","C230198","06.03.2023","not started"
"Ibinex Financials Estonia OÜ","C201355","29.06.2020","finished"
"Ibinex Financials Estonia OÜ","C210285","06.03.2021","finished"
"Ibinex Financials Estonia OÜ","C200967","13.05.2020","finished"
"Ibinex Financials Estonia OÜ","C230117","14.02.2023","finished"
"Ibinex Financials Estonia OÜ","C220217","06.03.2022","finished"
"Ibinex Financials Estonia OÜ","C201304","19.06.2020","finished"
"ICOworld OÜ","C221249","15.12.2022","in progress"
"ICOworld OÜ","C202085","06.11.2020","finished"
"ICOworld OÜ","C211156","06.11.2021","finished"
"ICOworld OÜ","C221164","06.11.2022","finished"
"IdeaStore OÜ","C230293","20.03.2023","in progress"
"IdeaStore OÜ","C220625","22.07.2022","finished"
"IdeaStore OÜ","C210798","22.07.2021","finished"
"IdeaStore OÜ","C201507","22.07.2020","finished"
"iLEADS OÜ","C201874","28.09.2020","finished"
"iLEADS OÜ","C211003","20.09.2021","finished"
"iLEADS OÜ","C220807","28.09.2022","finished"
"iLEADS OÜ","C211029","28.09.2021","finished"
"iLEADS OÜ","C210967","10.09.2021","finished"
"ImagineTeam OÜ","C200980","14.05.2020","finished"
"ImagineTeam OÜ","C201532","27.07.2020","finished"
"ImagineTeam OÜ","C210814","27.07.2021","finished"
"IMEX TOKI OÜ","C201837","22.09.2020","finished"
"Impactal OÜ","C210521","04.05.2021","finished"
"Impactal OÜ","C200952","12.05.2020","finished"
"Impala Media Network Ltd.Eesti filiaal","C210763","08.07.2021","finished"
"Impérial Management OÜ","C202086","06.11.2020","cancelled"
"ImperialFoundation OÜ","C220336","11.04.2022","finished"
"ImperialFoundation OÜ","C210446","11.04.2021","finished"
"Influx Marketing Group OÜ","C220545","20.06.2022","finished"
"Innovacom OÜ","C221168","08.11.2022","finished"
"Innovacom OÜ","C230313","21.03.2023","in progress"
"Innovacom OÜ","C211127","27.10.2021","finished"
"Innovacom OÜ","C220279","24.03.2022","finished"
"InsightGroup OÜ","C200449","09.03.2020","finished"
"Instacoins Estonia OÜ","C201228","10.06.2020","finished"
"International Investment Products 2016 OÜ","C220059","18.01.2022","finished"
"International Payments 5000 OÜ","C210903","24.08.2021","finished"
"International Payments 5000 OÜ","C201080","26.05.2020","finished"
"International Pharmaceutical Business OÜ","C220387","30.04.2022","finished"
"International Pharmaceutical Business OÜ","C210506","30.04.2021","finished"
"Invictus Investment OÜ","C201455","13.07.2020","cancelled"
"Invictus Investment OÜ","C192435","28.12.2019","finished"
"Invictus Investment OÜ","C202312","28.12.2020","finished"
"Irkasio Systems OÜ","C201031","20.05.2020","finished"
"ISC Services and Consulting OÜ","C202200","01.12.2020","cancelled"
"Izopanel European Distribution Center OÜ","C211231","25.11.2021","finished"
"Izopanel European Distribution Center OÜ","C221134","19.10.2022","finished"
"Izopanel European Distribution Center OÜ","C220614","16.07.2022","finished"
"Izopanel European Distribution Center OÜ","C230396","12.04.2023","in progress"
"Izopanel European Distribution Center OÜ","C211116","25.10.2021","finished"
"Izopanel European Distribution Center OÜ","C210876","13.08.2021","finished"
"iTeam Group OÜ","C220218","06.03.2022","finished"
"iTeam Group OÜ","C230119","14.02.2023","finished"
"iTeam Group OÜ","C230253","16.03.2023","finished"
"iTeam Group OÜ","C210286","06.03.2021","finished"
"iVentures OÜ","C221180","15.11.2022","finished"
"iVentures OÜ","C211186","15.11.2021","finished"
"iVentures OÜ","C202121","15.11.2020","finished"
"JenoGlobal OÜ","C202061","03.11.2020","finished"
"Jubiter Technologies OÜ","C201938","08.10.2020","finished"
"Jubiter Technologies OÜ","C210130","29.01.2021","finished"
"Jubiter Technologies OÜ","C200964","13.05.2020","finished"
"Jubiter Technologies OÜ","C201893","01.10.2020","finished"
"Jubiter Technologies OÜ","C201180","05.06.2020","finished"
"Jubiter Technologies OÜ","C210246","25.02.2021","finished"
"Jubiter Technologies OÜ","C201971","14.10.2020","finished"
"Jubiter Technologies OÜ","C201353","29.06.2020","finished"
"Kaizen Holding OÜ","C210420","07.04.2021","finished"
"Kaizen Holding OÜ","C220326","07.04.2022","finished"
